Name,Year,Team,Age,Pos.,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,Total RAA,/144
심우준,2022,KT,27,SS,129,124,1048.1,0.0,4.37,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.82,,-0.68,-1.11,-1.21
최정,2022,SSG,35,3B,117,115,958.1,0.0,2.26,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.61,,-0.14,1.84,2.18
최정,2023,SSG,36,3B,114,112,934.1,0.0,2.36,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-9.59,,1.58,-7.31,-8.23
최정,2024,SSG,37,3B,35,33,265.0,0.0,1.87,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-2.46,,-0.02,-2.44,-9.48
김성욱,2023,NC,30,LF,31,19,167.2,31.4,1.99,1,0,8,0.0,0,1,0.0,0,2,0.0,5,16,0.0,0,5,0.0,0,3,0.0,2.46,0.28,0.31,3.06,4.73
김성욱,2023,NC,30,CF,26,17,154.1,50.0,2.22,1,0,9,0.0,0,1,0.0,0,2,0.0,5,5,0.0,0,5,0.0,1,2,0.0,-5.17,0.11,0.21,-4.85,-7.51
김성욱,2023,NC,30,RF,45,5,119.2,38.5,1.81,1,0,3,0.0,1,1,100.0,0,1,0.0,1,6,0.0,0,2,0.0,0,0,0.0,-0.17,1.04,0.24,1.1,1.71
김성욱,2024,NC,31,LF,5,0,10.0,,0.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.35,,0.01,-0.34,-1.19
김성욱,2024,NC,31,CF,36,34,285.1,55.1,2.46,1,0,18,0.0,0,5,0.0,0,4,0.0,6,14,0.0,0,6,0.0,1,2,0.0,2.15,-0.48,0.42,2.08,7.32
김성욱,2024,NC,31,RF,7,2,24.0,25.0,0.75,1,0,1,0.0,0,0,,0,0,,1,2,,0,1,,0,0,,0.5,-0.3,0.08,0.28,0.99
