Name,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
구승민,2022,롯데,32,P,73,0,73,9,0,0,2,4,0,26,62.0,20,20,23.95,263,46,8,1,3,35,1,4,77,0,0,7,2.9,2.9,3.48,2.91,1.31,1.89
구승민,2023,롯데,33,P,67,0,67,8,0,0,2,6,3,22,63.2,28,32,32.85,289,65,8,0,4,29,5,0,66,2,0,2,3.96,4.52,4.64,3.66,1.48,0.9
구승민,2024,롯데,34,P,9,0,9,0,0,0,0,2,0,0,5.1,13,13,13.7,39,17,2,0,4,7,0,0,5,0,0,4,21.94,21.94,23.12,14.86,4.5,-0.26
김강률,2022,두산,34,P,26,0,26,17,0,0,3,4,9,1,24.2,12,13,16.8,110,28,6,0,2,8,2,2,15,1,0,1,4.38,4.74,6.13,4.36,1.46,-0.33
김강률,2023,두산,35,P,32,0,32,4,0,0,1,0,1,7,25.2,12,14,11.05,115,23,3,0,2,12,2,0,21,2,0,2,4.21,4.91,3.87,4.42,1.36,0.4
김강률,2024,두산,36,P,7,0,7,0,0,0,0,0,0,1,7.0,1,2,1.3,31,8,0,0,0,1,0,0,6,1,0,0,1.29,2.57,1.67,2.51,1.29,0.27
김원중,2022,롯데,29,P,43,0,43,27,0,0,2,3,17,2,43.0,19,21,22.35,187,40,10,1,4,16,0,3,60,4,0,3,3.98,4.4,4.68,2.41,1.3,0.63
김원중,2023,롯데,30,P,63,0,63,47,0,0,5,6,30,0,63.2,21,24,29.5,265,51,5,3,2,25,5,3,82,1,0,3,2.97,3.39,4.17,2.37,1.19,1.36
김원중,2024,롯데,31,P,15,0,15,12,0,0,0,2,7,0,15.2,5,5,5.7,70,13,1,0,2,10,1,3,19,0,0,0,2.87,2.87,3.27,4.48,1.47,0.72
노경은,2022,SSG,38,P,41,8,33,7,0,0,12,5,1,7,79.2,27,28,29.05,323,69,10,0,5,23,4,0,55,5,0,5,3.05,3.16,3.28,3.86,1.15,2.15
노경은,2023,SSG,39,P,76,0,76,6,0,0,9,5,2,30,83.0,33,33,36.45,357,78,13,2,4,36,4,5,65,4,0,8,3.58,3.58,3.95,3.81,1.37,1.64
노경은,2024,SSG,40,P,23,0,23,2,0,0,2,2,0,12,25.1,9,9,12.6,105,21,2,0,6,11,2,0,20,0,0,0,3.2,3.2,4.48,6.65,1.26,0.53
서진용,2022,SSG,30,P,68,0,68,40,0,0,7,3,21,12,67.1,30,32,31.85,297,64,10,1,5,36,3,3,55,2,0,6,4.01,4.28,4.26,4.33,1.49,0.78
