Rank,Name,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Team
1,헤이수스,P,1.73,8,8,0,0,0,0,5,3,0,0,46.0,16,17,16.30,188,40,10,1,3,9,4,0,45,1,0,2,3.13,3.33,3.19,3.25,3.42,1.07,KW
2,후라도,P,1.66,9,9,0,0,0,0,3,4,0,0,54.0,24,24,24.00,231,58,9,1,7,12,1,0,41,2,1,2,4.00,4.00,4.00,4.12,4.61,1.30,KW
3,김인범,P,1.02,9,4,5,4,0,0,0,1,0,0,24.2,7,7,7.00,103,21,0,1,1,5,3,0,11,2,1,1,2.55,2.55,2.55,2.46,4.59,1.05,KW
4,김성민,P,0.53,12,0,12,1,0,0,1,1,0,3,12.0,1,1,2.70,44,10,0,0,1,3,0,0,7,0,0,2,0.75,0.75,2.03,2.14,4.52,1.08,KW
5,김재웅,P,0.53,19,0,19,1,0,0,0,1,0,5,17.1,5,5,6.90,76,17,2,1,1,7,1,1,14,2,0,1,2.60,2.60,3.58,3.68,4.31,1.38,KW
6,하영민,P,0.51,8,8,0,0,0,0,3,2,0,0,38.2,25,26,26.00,181,53,9,2,3,13,3,0,28,1,0,4,5.82,6.05,6.05,6.13,4.61,1.71,KW
7,문성현,P,0.27,16,0,16,6,0,0,0,0,3,0,16.1,10,10,9.30,77,24,3,1,0,8,1,0,14,0,0,1,5.51,5.51,5.12,5.19,3.78,1.96,KW
8,김선기,P,0.21,7,5,2,0,0,0,2,1,0,0,26.1,18,19,19.35,127,33,6,0,4,12,3,0,8,3,0,2,6.15,6.49,6.61,6.85,7.03,1.71,KW
9,주승우,P,0.17,15,0,15,5,0,0,0,3,3,4,13.0,7,7,7.70,54,13,5,0,0,2,0,1,12,0,0,1,4.85,4.85,5.33,5.55,2.15,1.15,KW
10,조상우,P,0.15,21,0,21,0,0,0,0,1,0,4,18.1,10,13,11.60,78,17,1,0,1,9,0,0,17,0,0,1,4.91,6.38,5.69,5.96,4.07,1.42,KW
11,박윤성,P,0.10,3,0,3,2,0,0,0,0,0,0,4.0,1,1,1.00,17,3,1,0,1,2,0,0,3,0,0,0,2.25,2.25,2.25,2.19,6.86,1.25,KW
12,이종민,P,0.04,3,3,0,0,0,0,0,2,0,0,13.2,12,12,11.65,66,16,5,0,2,7,2,1,4,1,0,0,7.90,7.90,7.67,8.01,7.04,1.68,KW
13,김동규,P,-0.01,2,0,2,1,0,0,0,0,0,0,0.1,2,2,1.30,4,1,1,0,0,2,0,0,0,0,0,0,54.00,54.00,35.10,33.79,22.81,9.00,KW
14,손현기,P,-0.02,6,2,4,2,0,0,0,1,0,0,14.1,12,14,13.30,69,17,3,1,2,8,3,0,9,0,0,3,7.53,8.79,8.35,8.65,6.68,1.74,KW
15,박승주,P,-0.04,1,0,1,1,0,0,0,0,0,0,2.0,5,5,5.00,13,7,1,0,1,0,0,0,3,0,0,1,22.50,22.50,22.50,24.26,6.41,3.50,KW
16,오석주,P,-0.05,2,0,2,1,0,0,0,0,0,0,4.0,6,6,6.00,22,8,2,1,0,2,0,0,6,0,0,1,13.50,13.50,13.50,14.06,2.01,2.50,KW
17,김동혁,P,-0.05,7,0,7,4,0,0,0,2,0,0,9.2,8,8,9.20,47,11,2,0,3,8,0,0,5,0,0,0,7.45,7.45,8.57,8.58,9.18,1.97,KW
18,이명종,P,-0.06,3,0,3,3,0,0,0,0,0,0,3.2,4,4,5.55,24,8,0,0,0,4,0,1,1,1,0,1,9.82,9.82,13.62,14.05,6.07,3.27,KW
19,김연주,P,-0.08,5,0,5,3,0,0,0,0,0,0,3.1,6,6,6.00,19,5,1,0,2,4,0,0,1,0,0,1,16.20,16.20,16.20,17.09,14.32,2.70,KW
20,전준표,P,-0.13,13,1,12,3,0,0,2,2,0,0,13.1,7,14,13.00,71,15,1,0,0,9,3,0,11,4,0,2,4.73,9.45,8.77,8.99,4.94,1.80,KW
21,김윤하,P,-0.14,6,0,6,0,0,0,0,0,0,2,8.2,11,12,11.15,50,17,4,0,0,7,0,0,8,0,0,1,11.42,12.46,11.58,11.85,4.41,2.77,KW
22,윤석원,P,-0.15,7,0,7,3,0,0,0,0,0,0,10.2,15,16,15.00,54,20,9,0,1,4,1,0,1,1,0,2,12.66,13.50,12.66,13.03,6.55,2.25,KW
