Rank,Name,Position,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,Total RAA,/144,Team
1,구본혁,3B,21,4,67.0,2,0,8,13,0,18,88.9,100.0,2.82,2.23,0.24,0.40,,2.87,11.81,LG
2,김주성,3B,2,0,4.0,0,0,0,2,0,2,100.0,100.0,4.50,0.36,0.01,,,0.37,26.74,LG
3,김태우,3B,1,0,2.0,0,0,0,0,0,0,,,0.00,-0.21,0.01,,,-0.20,-7.27,LG
4,김현수,1B,5,0,8.0,0,0,7,0,0,3,100.0,100.0,7.88,-0.23,0.02,,,-0.21,-0.73,LG
5,구본혁,SS,12,9,67.0,3,0,9,25,2,24,79.2,94.4,4.57,-0.51,0.24,-0.13,,-0.40,-1.65,LG
6,김태우,2B,2,0,4.0,0,0,1,3,1,0,,80.0,9.00,-0.51,-0.48,0.40,,-0.59,-21.35,LG
7,구본혁,2B,10,3,45.0,3,0,8,10,1,11,63.6,94.7,3.60,-0.77,-0.33,,,-1.10,-4.54,LG
8,손호영,3B,1,0,3.0,0,0,0,0,1,0,,0.0,0.00,-0.72,-0.49,,,-1.21,-5.99,LG
9,오스틴,1B,37,37,299.0,16,0,243,22,3,163,88.3,98.9,7.98,-2.08,0.74,,0.10,-1.23,-4.13,LG
10,오지환,SS,41,34,316.0,17,1,52,89,6,86,72.1,95.9,4.02,-1.37,-0.37,0.13,,-1.61,-5.66,LG
11,문보경,1B,17,0,34.0,1,0,26,4,2,27,88.9,93.8,7.94,-0.71,-0.91,,,-1.62,-5.44,LG
12,김범석,1B,6,6,42.0,3,0,42,2,0,24,87.5,100.0,9.43,-1.92,0.10,,0.12,-1.69,-11.58,LG
13,신민재,2B,42,40,334.0,17,0,83,96,3,96,79.2,98.4,4.82,-1.68,-0.26,-0.40,,-2.34,-8.04,LG
14,문보경,3B,40,39,307.0,18,0,33,57,5,57,59.6,94.7,2.64,-6.16,1.09,-0.40,-0.39,-5.86,-19.63,LG
