Rank,Name,Position,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,Total RAA,/144,Team
1,홍창기,RF,36,34,291.0,40.4,2.16,1,0,19,0.0,0,4,0.0,0,0,,3,20,,0,6,,3,6,,1.98,0.51,0.04,2.53,9.12,LG
2,문성주,LF,34,28,252.0,29.1,2.25,4,1,7,14.3,0,6,0.0,0,3,0.0,8,20,0.0,0,10,0.0,2,9,0.0,2.01,0.09,0.24,2.34,7.85,LG
3,최승민,LF,10,0,18.0,85.7,5.00,1,0,2,0.0,0,3,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,2.17,0.04,0.02,2.22,11.83,LG
4,문성주,RF,16,8,81.0,42.1,2.11,4,0,7,0.0,0,0,,0,1,0.0,0,7,0.0,0,1,0.0,0,2,0.0,1.28,1.05,-0.21,2.12,7.11,LG
5,박해민,CF,43,40,341.0,36.3,2.24,1,0,18,0.0,0,6,0.0,0,5,0.0,12,34,0.0,0,14,0.0,2,3,0.0,0.95,0.01,0.51,1.47,4.93,LG
6,최원영,CF,2,0,4.0,,4.50,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.65,,0.01,0.66,18.92,LG
7,안익훈,RF,1,1,9.0,50.0,3.00,0,0,1,0.0,0,1,0.0,0,0,,0,1,,0,0,,0,1,,0.29,0.33,0.03,0.65,23.51,LG
8,문성주,CF,1,0,2.0,,4.50,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.37,,0.00,0.37,1.25,LG
9,안익훈,CF,1,0,1.0,,9.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.26,,0.00,0.26,9.45,LG
10,김현종,CF,4,0,9.0,66.7,3.00,0,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,,0,1,,0.18,-0.02,0.01,0.17,2.28,LG
11,최원영,LF,2,0,3.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,0.00,0.00,0.08,LG
12,김현종,LF,1,0,1.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,0.00,0.00,0.01,LG
13,안익훈,LF,2,0,4.0,,2.25,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.04,,0.00,-0.03,-1.23,LG
14,최승민,RF,1,0,2.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.29,,0.01,-0.28,-1.51,LG
15,김현수,LF,15,15,105.0,8.3,1.20,0,0,0,,0,1,0.0,0,0,,1,6,,0,1,,3,4,,-1.15,-0.64,0.10,-1.69,-5.79,LG
16,홍창기,CF,5,3,26.0,66.7,1.73,1,0,2,0.0,0,0,,0,0,,0,0,,0,0,,0,1,,-1.93,0.17,0.04,-1.71,-6.17,LG
